# Dark Elf Male NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Yessu Zeddashpalit | tr
Ygril Oresi | tr
Yontus Kushummu | tr
Yugil Nethri | tr
Zabul Ahalkalun | tr
Zadathys Aldrethi | tr
Zadathys Malvayn | tr
Zahat Ahalkalun | tr
Zainat Ahalkalun | vanilla
Zairan Enturnabaelul | vanilla
Zalabelk Saladnius | vanilla
Zalam Lonas | tr
Zalamilk Dralm | tr
Zalavni Tuvayn | tr
Zalit Salkatanat | vanilla
Zallas Nalyn | tr
Zallay Subaddamael | vanilla
Zallit Assattadaishah | vanilla
Zallit Mergummu | tr
Zanammu Almit | tr
Zanat Assarnuridan | vanilla
Zanat Nerendus | tr
Zanmu Gul | tr
Zanmulk Sammalamus | vanilla
Zaren Hammebenat | tr
Zargoryn Thalen | tr
Zaril Drelo | tr
Zaritan Renyl | tr
Zarummi Ninnubet | tr
Zaryn Sadas | tr
Zebba Benamamat | vanilla
Zebdusipal Mantiti | vanilla
Zeddal Yantashpi | tr
Zelaku Assarrapanat | vanilla
Zelay Sobbinisun | vanilla
Zenabi Samma | vanilla
Zennammu Urshumusa | vanilla
Ziddak Assalatammis | tr
Zuls Ildaras | tr
Zuriel Drelor | tr
Zusinumausur Telendas | tr
